GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kitchen-svc,org.example.kitchen.service,KitchenOrderService,226,285,37,30,44,59,27,21,2,11
kitchen-svc,org.example.kitchen.controller,KitchenOrderController,0,65,0,0,0,13,0,6,0,6
kitchen-svc,org.example.kitchen.model.enums,KitchenOrderStatus,12,45,2,0,4,8,2,1,1,1
kitchen-svc,org.example.kitchen.model,KitchenOrder.KitchenOrderBuilder,24,44,0,0,0,1,2,7,2,7
kitchen-svc,org.example.kitchen.model,KitchenOrder,0,70,0,0,0,10,0,15,0,15
kitchen-svc,org.example.kitchen,KitchenServiceApplication,5,3,0,0,2,1,1,1,1,1
kitchen-svc,org.example.kitchen.dto.request,CreateKitchenOrderRequest,99,17,22,0,0,3,15,5,4,5
kitchen-svc,org.example.kitchen.dto.request,UpdateStatusRequest,66,10,14,0,0,2,11,3,4,3
kitchen-svc,org.example.kitchen.config,SecurityConfig,75,67,1,3,11,15,6,7,5,6
kitchen-svc,org.example.kitchen.mapper,KitchenOrderMapper,0,34,0,2,0,9,0,2,0,1
kitchen-svc,org.example.kitchen.dto.response,KitchenOrderResponse,235,45,54,0,0,7,31,13,4,13
kitchen-svc,org.example.kitchen.exception,KitchenOrderOperationException,0,9,0,0,0,4,0,2,0,2
kitchen-svc,org.example.kitchen.exception,RestExceptionHandler,0,19,0,0,0,3,0,3,0,3
